# spinup task ledger — source of truth for progress across contexts.
# Format: id|phase|status|branch|title
# status: todo (not started) | wip (in progress) | done | manual (user action, not Claude's)
# Edit via `make start ID=x.y` / `make done ID=x.y`, or by hand.
0.1|Phase 0 — Repo hygiene|done|task/0.1-repo-hygiene|Purge junk files, real .gitignore + .editorconfig + CHANGELOG
0.2|Phase 0 — Repo hygiene|done|main|Bootstrap dev tooling: CLAUDE.md, Makefile, progress tracker
0.3|Phase 0 — Repo hygiene|manual|-|Rename GitHub repo My-Scripts to spinup, set description + topics
1.1|Phase 1 — Catalog v1|done|task/1.1-stack-postgres|stacks/postgres: compose.yaml, spinup.yaml, .env.example, README
1.2|Phase 1 — Catalog v1|done|task/1.2-stack-mysql|stacks/mysql: fix phpMyAdmin creds, mysql:8.4, drop auth plugin flag
1.3|Phase 1 — Catalog v1|done|task/1.3-stack-mongodb|stacks/mongodb: mongo:7 + mongo-express GUI
1.4|Phase 1 — Catalog v1|done|task/1.4-stack-redis|stacks/redis: data volume, redisinsight:2
1.5|Phase 1 — Catalog v1|done|task/1.5-stack-mssql|stacks/mssql: 2022 image, MSSQL_SA_PASSWORD, healthcheck
1.6|Phase 1 — Catalog v1|done|task/1.6-stack-pytorch|stacks/pytorch: GPU behind gpu profile, Jupyter token on
1.7|Phase 1 — Catalog v1|done|task/1.7-stack-nginx|stacks/nginx-static + nginx-proxy-manager, build locally, fix YAML
1.8|Phase 1 — Catalog v1|done|task/1.8-ci-compose|CI: docker compose config for every stack
1.9|Phase 1 — Catalog v1|done|task/1.9-setup-scripts|setup/: split docker-setup.sh into docker-{ubuntu,fedora,macos}.sh, compose v2
2.1|Phase 2 — CLI core|done|task/2.1-go-skeleton|Go module, Cobra skeleton, go:embed of stacks/
2.2|Phase 2 — CLI core|done|task/2.2-catalog|internal/catalog: spinup.yaml parsing, materialise to ~/.spinup
2.3|Phase 2 — CLI core|done|task/2.3-config-env|internal/config: config.yaml, per-stack env merge
2.4|Phase 2 — CLI core|done|task/2.4-docker-doctor|internal/docker + doctor command
2.5|Phase 2 — CLI core|done|task/2.5-compose-wrap|internal/compose: docker compose exec wrapper
2.6|Phase 2 — CLI core|done|task/2.6-lifecycle-cmds|Commands: up, down, restart, destroy
2.7|Phase 2 — CLI core|done|task/2.7-inspect-cmds|Commands: list, ps, logs, env, version
2.8|Phase 2 — CLI core|done|task/2.8-tests|Unit tests + redis integration test in CI
3.1|Phase 3 — Distribution|done|task/3.1-goreleaser|GoReleaser: 3 OS x 2 arch, checksums, cosign
3.2|Phase 3 — Distribution|done|task/3.2-taps|Homebrew tap + Scoop bucket repos, auto-updated on release
3.2m|Phase 3 — Distribution|manual|-|Create homebrew-tap + scoop-bucket repos, add TAP_GITHUB_TOKEN secret
3.3|Phase 3 — Distribution|done|task/3.3-installers|install.sh, install.ps1, spinup update, completions
3.4|Phase 3 — Distribution|manual|-|Tag and publish v1.1.0
4.1|Phase 4 — CLI polish|done|task/4.1-connect-cmds|Commands: shell, cli, open, url, info
4.2|Phase 4 — CLI polish|done|task/4.2-authoring-cmds|Commands: new, reset, completion
4.3|Phase 4 — CLI polish|done|task/4.3-output|--json, --port override, post-up summary card
4.4|Phase 4 — CLI polish|done|task/4.4-doctor-plus|doctor: port collisions, GPU runtime, compose version
5.1|Phase 5 — Catalog v2|done|task/5.1-stacks-a|stacks: mailpit, minio, adminer
5.2|Phase 5 — Catalog v2|done|task/5.2-stacks-b|stacks: rabbitmq, nats, mariadb
5.3|Phase 5 — Catalog v2|done|task/5.3-stacks-c|stacks: portainer, couchdb, neo4j
5.4|Phase 5 — Catalog v2|done|task/5.4-stacks-d|stacks: clickhouse, localstack, vault
5.5|Phase 5 — Catalog v2|done|task/5.5-stacks-e|stacks: traefik, kafka (KRaft + kafka-ui)
5.6|Phase 5 — Catalog v2|done|task/5.6-stacks-f|stacks: opensearch, monitoring, keycloak
6.1|Phase 6 — Docs|todo|task/6.1-readme|README: install one-liner, demo GIF, stack table, FAQ
6.2|Phase 6 — Docs|todo|task/6.2-contributing|CONTRIBUTING.md, issue templates
6.3|Phase 6 — Docs|todo|task/6.3-site|Optional: mkdocs site on GitHub Pages
